Test Case ID,Title,Description,Type,Priority,Complexity,Status,Source,PRD Document,Test Steps,Expected Results,Created At,Reviewed At
TC_002562,"PM Reassignment Configuration Screen - No Replacement PM Available","Test that validates BUH temporarily assigned as Appraising Officer when no replacement PM.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to PM Reassignment Configuration Screen | Select project 'ProjectY' | Leave new PM empty | Click Save","BUH assigned as Appraising Officer, audit log updated, confirmation message displayed.",24/10/2025,N/A

TC_002561,"PM Reassignment Configuration Screen - Change PM for Project","Test that validates admin can change PM for a project and audit log updated.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to PM Reassignment Configuration Screen | Select project 'ProjectX' | Enter new PM 'PM2' | Click Save","PM updated to 'PM2', audit log entry created, confirmation message displayed.",24/10/2025,N/A

TC_002560,"Promotion Recommendation Screen - Submit Button Disabled Until Required Fields","Test that validates Submit button remains disabled until all required fields are filled.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Promotion Recommendation Screen | Leave 'Reason for Promotion' empty | Attempt to click Submit","Submit button disabled; error message displayed: 'Reason for Promotion is required.'",24/10/2025,N/A

TC_002559,"Promotion Recommendation Screen - Next Designation Display","Test that validates only next applicable designation is displayed based on hierarchy.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Promotion Recommendation Screen | Select employee 'Dev1'","Next designation displayed (e.g., 'Senior Developer') without dropdown.",24/10/2025,N/A

TC_002558,"Bucketization Screen - Manual Override of Bucket Grade","Test that validates manual override of bucket grade for a reportee.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Bucketization Screen | Edit grade for reportee 'Dev1' to 'B' | Click Save","Grade updated to 'B', changes reflected in bucketization list.",24/10/2025,N/A

TC_002557,"Bucketization Screen - Verify System-Generated Distribution","Test that validates system-generated bucketization matches predefined percentages.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Bucketization Screen","Reportees assigned grades A-E according to 5%/10%/30%/30%/30% distribution for team size >10.",24/10/2025,N/A

TC_002556,"Final Scorecard Screen - Verify Final Rating Calculation","Test that validates Final Rating matches calculation criteria (score >=85.5 => Exceeds Expectations).",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Final Scorecard Screen","If numeric score is 90, Final Rating shows 'Exceeds Expectations'.",24/10/2025,N/A

TC_002555,"Final Scorecard Screen - Verify Final Rating Display","Test that validates Final Rating is displayed and numeric score is hidden.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Final Scorecard Screen","Final Rating displayed (e.g., 'Exceeds Expectations'), numeric score not visible.",24/10/2025,N/A

TC_002554,"Value Creation Screen - Enter Value Creation Score","Test that validates entering value creation score applies 10% weightage.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Value Creation Screen | Enter Value Creation Score '90' | Click Save","Value creation score saved, 10% weightage applied to total score.",24/10/2025,N/A

TC_002553,"Attributes Review Screen - Enter Attribute Rating","Test that validates entering attribute rating applies 20% weightage.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Attributes Review Screen | Enter Attribute Rating for 'Teamwork' as '4' | Click Save","Attribute rating saved, 20% weightage applied to total score.",24/10/2025,N/A

TC_002552,"Project Review Screen - Enter Invalid Project Review Score","Test that validates error when project review score exceeds maximum allowed (100).",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Project Review Screen | Enter Project Review Score '110' | Click Save","Error message displayed: 'Project Review Score cannot exceed 100.'",24/10/2025,N/A

TC_002551,"Project Review Screen - Enter Project Review Score","Test that validates entering project review score applies 70% weightage.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Project Review Screen | Enter Project Review Score '80' | Click Save","Score saved, project review component shows 70% weightage applied to total score.",24/10/2025,N/A

TC_002550,"Training Page - Submit Training with Missing Mandatory Fields","Test that validates validation error when mandatory fields are missing.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Training Page | Leave Training Type empty | Enter Duration '5 days' | Enter Target Date '2024-05-15' | Click Add Training","Error message displayed: 'Training Type is required.'",24/10/2025,N/A

TC_002549,"Training Page - Add Training Details","Test that validates adding training details and that training hours are fetched from Vigyan/HEADS.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Training Page | Enter Training Type 'Certification' | Enter Duration '5 days' | Enter Target Date '2024-05-15' | Click Add Training","Training record added, training hours displayed in Training Page, and training details visible in Appraisee's profile.",24/10/2025,N/A

TC_002548,"Goal Setting Page - Delete Goal Not Allowed","Test that validates the delete goal button is not present for already set goals.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Goal Setting Page | View existing goal 'Improve code quality'","No delete button visible next to the goal.",24/10/2025,N/A

TC_002547,"Goal Setting Page - Add Goal Exceeding Remaining Weightage","Test that validates system prevents adding a goal with weightage exceeding the remaining available weightage.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Goal Setting Page | Enter Goal Description 'New feature development' | Enter Weightage '110' | Click Add Goal","Error message displayed: 'Weightage exceeds remaining available weightage.'",24/10/2025,N/A

TC_002546,"Goal Setting Page - Add Goal with Valid Weightage","Test that validates adding a goal with weightage less than or equal to remaining weightage updates remaining weightage correctly.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Goal Setting Page | Enter Goal Description 'Improve code quality' | Enter Weightage '20' | Click Add Goal","Goal is added, remaining weightage updated to 80%, and goal appears in the list with a weighted score placeholder.",24/10/2025,N/A
